"spell_duration","cens","case.ID","race","sex","highest_educ","age_at_start"
18,1,2,3,2,0,1992
32,0,2,3,2,0,1993
79,1,3,3,2,0,1989
12,1,3,3,2,0,1991
52,0,3,3,2,0,1993
22,1,4,3,2,1,1990
19,1,7,3,1,0,1992
39,1,9,3,1,1,1992
2,1,10,3,2,0,1990
5,1,10,3,2,0,1990
1,1,11,3,1,1,1993
10,1,14,3,2,1,1989
32,1,15,3,1,1,1990
3,1,15,3,1,1,1992
6,1,16,3,2,1,1990
1,1,17,3,1,1,1992
3,1,17,3,1,1,1992
8,1,17,3,1,1,1992
19,1,20,3,2,1,1990
1,1,20,3,2,1,1991
5,1,24,3,1,0,1993
10,1,25,3,2,1,1990
11,1,27,3,2,1,1993
4,1,27,3,2,1,1993
23,0,27,3,2,1,1993
2,1,31,1,1,0,1989
18,1,32,1,2,1,1989
42,1,32,1,2,1,1991
2,1,34,3,1,1,1989
195,0,37,3,2,0,1990
1,1,42,3,1,0,1989
2,1,42,3,1,0,1991
5,1,42,3,1,0,1993
62,1,43,3,2,0,1989
1,1,43,3,2,0,1991
52,1,43,3,2,0,1991
88,0,43,3,2,0,1992
1,1,44,3,2,0,1991
24,1,45,3,1,0,1990
166,0,48,3,1,0,1990
248,0,53,1,1,0,1989
11,1,61,3,2,1,1993
3,1,62,3,2,0,1989
40,1,67,3,1,1,1989
21,1,67,3,1,1,1991
15,1,68,3,2,1,1991
2,1,68,3,2,1,1992
2,1,68,3,2,1,1992
27,0,68,3,2,1,1993
28,1,70,3,1,1,1990
6,1,70,3,1,1,1992
6,1,71,3,1,1,1989
4,1,72,3,2,1,1992
7,1,72,3,2,1,1993
5,1,73,3,1,1,1993
8,1,74,3,2,1,1991
4,1,74,3,2,1,1991
8,1,74,3,2,1,1992
3,1,78,3,2,1,1989
17,1,78,3,2,1,1989
121,0,78,3,2,1,1991
7,1,80,3,1,1,1989
5,1,80,3,1,1,1989
1,1,81,3,1,1,1989
21,1,81,3,1,1,1990
16,1,81,3,1,1,1992
3,1,81,3,1,1,1993
2,1,81,3,1,1,1993
3,1,81,3,1,1,1993
14,1,81,3,1,1,1993
34,1,83,2,1,0,1991
39,0,83,2,1,0,1993
209,0,85,2,1,0,1989
1,0,86,2,2,0,1993
8,1,87,2,1,0,1989
26,1,87,2,1,0,1989
3,1,87,2,1,0,1990
